PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6,PAH 3.3(Flitecam data),PAH G7.6,PAH G7.8,H2,H2_12,PAH PLAT7,f_evsg,G76,G78,G76 Dave,G78 Dave,PAH 12.7
8.44864281673228E-06,4.29113734241303E-06,1.54834740047429E-05,4.13026075226401E-07,2.69037041299109E-06,1.96871490633273E-06,1.59425981749718E-05,3.89141234822261E-06,2.00417882687172E-07,8.780917273927E-08,3.22128782058409E-05,0.242128479222379,3.32823801884094E-05,1.21857927881613E-05,1.37725399807368E-05,6.51407742675076E-06,1.49216415036577E-06
8.69375938614633E-06,4.5463379185672E-06,1.58728187234081E-05,4.16510852431407E-07,2.79529616193316E-06,2.17762842049398E-06,1.64139738868905E-05,4.02631460437506E-06,2.03641378461769E-07,8.27949808789652E-08,3.2460642571402E-05,0.230335130789689,3.4266442226697E-05,1.26082334839873E-05,1.39611434183551E-05,6.6670036573556E-06,1.54250877737018E-06
9.31017490598558E-06,5.10199450242061E-06,1.6501508383682E-05,4.05850024860251E-07,2.87639653338597E-06,2.47657342447837E-06,1.70074380047122E-05,4.34540203041177E-06,2.54213007418801E-07,1.00045005305652E-07,3.45719272073938E-05,0.265939432424698,3.55053807096683E-05,1.36074422305924E-05,1.41599019227795E-05,7.09030149063782E-06,1.613315794611E-06
1.01918855361001E-05,5.94671059286184E-06,1.7369291974628E-05,3.73429881803355E-07,2.87785316470643E-06,3.70671702717147E-06,1.78103160680459E-05,4.86921959145898E-06,3.57487391069095E-07,1.36753755037577E-07,3.95445965388793E-05,0.354568556216013,3.7181499787345E-05,1.52477547152451E-05,1.47703588337707E-05,7.98652892520814E-06,1.71483088266571E-06
1.12029901170267E-05,6.98134560686727E-06,1.87151416606504E-05,3.40036790378609E-07,2.84618561525101E-06,4.38439703409343E-06,1.88676665834626E-05,5.5972034359327E-06,4.77227781896746E-07,1.75600866990072E-07,4.62861094434459E-05,0.453200602671921,3.93888653284121E-05,1.75274052606153E-05,1.57968858708132E-05,9.30676367250454E-06,1.84405769004616E-06
1.13247548532243E-05,7.34130503676441E-06,1.92300463675997E-05,3.17861585403851E-07,2.67713699981539E-06,3.58172409340376E-06,1.9478174750743E-05,6.28275881109007E-06,5.57414416027695E-07,1.89654273759864E-07,5.07029480881061E-05,0.515679085208642,4.06633856235704E-05,1.96741928531184E-05,1.6040164665946E-05,1.01725012685298E-05,1.95783304534114E-06
1.05676151136865E-05,6.84605219140439E-06,1.81884085429823E-05,3.22949462371942E-07,2.45512317469685E-06,3.14989865352668E-06,1.85646534917164E-05,6.13527526541166E-06,5.54304843930811E-07,1.85807818465246E-07,4.82374457079271E-05,0.528500166531036,3.87562835615709E-05,1.92123543825381E-05,1.5185862883564E-05,9.77657398026315E-06,1.8348793381588E-06
9.11507105859775E-06,5.8316279522545E-06,1.64090692406517E-05,3.43312283172277E-07,2.24804463532925E-06,1.9594549335786E-06,1.6813413121936E-05,5.39643795304469E-06,4.73234175733491E-07,1.94224526260293E-07,4.16775827455224E-05,0.496429197718952,3.5100326913311E-05,1.68987166626038E-05,1.39165836912862E-05,8.66385294549157E-06,1.56438377594726E-06
7.87822460702826E-06,4.75097988028277E-06,1.43941215030627E-05,3.6184093751379E-07,2.02352825634235E-06,1.23366247013419E-06,1.48414728222194E-05,4.53245563570024E-06,3.69319247272187E-07,1.81935716599573E-07,3.44001125130615E-05,0.442757713071261,3.09836286158498E-05,1.41931926652295E-05,1.26390929346924E-05,7.58059945921216E-06,1.31448768094011E-06
6.95192812721503E-06,3.88645305570964E-06,1.26813311545147E-05,3.49972505508505E-07,1.91299006499306E-06,1.26368297196244E-06,1.30584820222505E-05,3.76643005821697E-06,2.83189450512746E-07,1.44408518065083E-07,2.8576456206279E-05,0.389416623021975,2.72613885502273E-05,1.17944160457571E-05,1.13070500036928E-05,6.45563688859597E-06,1.19446150203906E-06
6.33207374152311E-06,3.47471664424212E-06,1.11353982177393E-05,3.3347336594374E-07,1.85052008923633E-06,1.24936324054177E-06,1.15707821231716E-05,3.16804570379108E-06,2.21073061309697E-07,1.11764883064441E-07,2.48215725524352E-05,0.337913897522683,2.41556091092618E-05,9.92060080897245E-06,1.00861731266371E-05,5.4366789942944E-06,1.12096284083419E-06
5.91600174231018E-06,3.22900481257474E-06,1.02765299019746E-05,3.0535602783075E-07,1.80288993412824E-06,1.33465796913846E-06,1.07531628046073E-05,2.78306535037441E-06,1.8600761491225E-07,1.03268098089639E-07,2.19270327448485E-05,0.279794935873505,2.24487156210619E-05,8.71505115387323E-06,9.43287334205129E-06,4.80367024149037E-06,1.05444637897183E-06
5.663324480512E-06,3.160930063219E-06,9.72836367888216E-06,2.89165401150085E-07,1.8044252601812E-06,1.45745503677329E-06,1.03019846062524E-05,2.5761226331654E-06,1.78031019879367E-07,8.3105164018788E-08,2.01081276629614E-05,0.237261381983474,2.15068186877288E-05,8.0670188084756E-06,8.97407797385675E-06,4.45540895028641E-06,1.00675742850754E-06
5.3854465368485E-06,3.20550027523328E-06,9.28334605896261E-06,2.71872534855217E-07,1.80410634746058E-06,1.28198253903023E-06,9.84537355402228E-06,2.43815643193732E-06,1.78159453252954E-07,7.70466961724198E-08,1.91191456355063E-05,0.224667867997919,2.05535799200096E-05,7.6349834985442E-06,8.37280004623474E-06,4.19101987560742E-06,9.91122043662437E-07
5.43334118645844E-06,3.221419494992E-06,8.9464699892339E-06,2.43432682331214E-07,1.7292581975305E-06,1.66549616984271E-06,9.39701491552636E-06,2.32672415047245E-06,1.78317620137176E-07,8.56348928674676E-08,1.86861920066058E-05,0.232501939545645,1.96175692081166E-05,7.28603803341941E-06,7.94385838235022E-06,4.04914516329709E-06,9.90461351936551E-07
5.38375583963246E-06,3.25041282124372E-06,8.9270846777543E-06,2.19089982850964E-07,1.56345310884703E-06,1.74594794970658E-06,9.23832936176657E-06,2.39829125304593E-06,2.02805240349502E-07,9.43001036027407E-08,1.9318153995521E-05,0.2986007962116,1.92862911521387E-05,7.51014738096976E-06,7.56295280475383E-06,4.03813321484247E-06,9.58150225759135E-07
5.01971923480071E-06,3.2370474980231E-06,8.61917794520069E-06,1.97676916960611E-07,1.38470062515041E-06,1.64214921912546E-06,8.89134992597274E-06,2.52862347288579E-06,2.43844090968139E-07,1.02034266874303E-07,2.03704846456877E-05,0.395485653219158,1.85619235570387E-05,7.91827720183415E-06,7.17026752495898E-06,4.14143065323648E-06,9.07539646302454E-07
4.66069603338297E-06,2.9716621023011E-06,7.67522000834343E-06,1.7813321789806E-07,1.18061478779845E-06,1.11402714849956E-06,7.89120660749157E-06,2.43425835551803E-06,2.55083209743774E-07,1.07050132113036E-07,1.97472879420453E-05,0.465383952411705,1.64739859572035E-05,7.62277683750003E-06,6.39113397856103E-06,3.9375777066325E-06,8.10466508056854E-07
4.26244521411761E-06,2.53166084626798E-06,6.67270303220549E-06,1.60915023632577E-07,1.02467303143004E-06,1.06231030252727E-06,6.909856601964E-06,2.16388449276678E-06,2.17020048650848E-07,1.10806564594949E-07,1.71356822377647E-05,0.474960878792121,1.44252819992036E-05,6.77611254906338E-06,5.87597881776218E-06,3.62934908636541E-06,6.68483868530766E-07
