PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6_north,Ratio 6.2/11.2,Ratio 7.7/11.2,Ratio 6.2/7.7,H2_9,H2_12,PAH 12.7,PAH 12.0,PAH 13.5,PAH 14.2,G7.6,G7.8,f_evsg,PAHPLAT_11,fevsg
1.71677669057003E-06,6.69203988137584E-07,3.41048543514565E-06,1.0264070992065E-07,5.65075383570398E-07,2.56540116467009,5.09633160531087,0.503381915336258,6.37740405976123E-08,5.06812257711224E-08,2.19568456894967E-07,9.61996502231291E-09,4.10027327071956E-08,2.0135530802925E-08,3.37704153165487E-06,8.1154274027778E-07,0.170081842067003,1.37377992542633E-06,0.170081842067003
1.70428926867955E-06,6.67158716422723E-07,3.2416839607993E-06,1.0040251322412E-07,5.61746917992997E-07,2.55454845560271,4.8589396810718,0.525741956738846,5.16840405132581E-08,4.70367486908825E-08,2.32340953494286E-07,6.11177033382993E-09,3.41353087420553E-08,1.93492170965936E-08,3.28739739752588E-06,8.32318811881975E-07,0.190110738800591,1.37982097912437E-06,0.190110738800591
1.74481615074566E-06,6.78137004564871E-07,3.20146619703676E-06,1.01901621733365E-07,5.66035749986797E-07,2.57295522733673,4.72097256968153,0.545005332981695,5.23407099378563E-08,4.8795715424E-08,2.37774527730169E-07,1.20621952506006E-08,2.70649035514814E-08,2.03753268650513E-08,3.23606005808853E-06,8.57010258164928E-07,0.199620672564568,1.39036392824597E-06,0.199620672564568
1.72055962056033E-06,7.18277182858555E-07,3.35255779276331E-06,1.06538028229888E-07,5.74689440692661E-07,2.39539785144358,4.66749866593424,0.513208042013253,5.22002543670082E-08,5.31386888921402E-08,2.38971371433435E-07,1.73496279130019E-08,3.3274537925318E-08,2.85818661349322E-08,3.32336001695441E-06,8.75561478058699E-07,0.203765031885254,1.34620928697668E-06,0.203765031885254
1.85482202840849E-06,7.52741939607583E-07,3.56247048461649E-06,1.11620167063843E-07,5.94132483920773E-07,2.46408753227626,4.73265842803134,0.520656111094257,5.47063777054217E-08,4.46360571479459E-08,2.52746582084046E-07,1.6788211956748E-08,4.31112539855122E-08,3.45539581032388E-08,3.45626069103458E-06,8.95041993004813E-07,0.188450645916797,1.35604576561679E-06,0.188450645916797
1.93313325501803E-06,7.57722400210257E-07,3.76158152648338E-06,1.05699581365645E-07,6.36009447938162E-07,2.55124205709322,4.96432667879371,0.5139150225531,6.18413636228179E-08,3.32796708164461E-08,2.94588184440483E-07,1.81848719922345E-08,4.60785065498558E-08,3.45336001935861E-08,3.66483244265414E-06,9.38314386549419E-07,0.170532172486253,1.52933662467042E-06,0.170532172486253
2.42312890561965E-06,7.81216297025494E-07,3.84901917807709E-06,1.05128175535272E-07,6.91311756624968E-07,3.10173880760781,4.92695709591871,0.62954451342334,4.942283543103E-08,3.27716857065069E-08,3.26331517386468E-07,2.35670790968261E-08,4.82664059308411E-08,4.23930565837258E-08,3.69547500283272E-06,9.39585126506313E-07,0.192335068269579,1.71759112379632E-06,0.192335068269579
1.87723598208181E-06,1.37451904721081E-06,4.02671033766465E-06,6.41966446955749E-08,4.30377099608114E-07,1.36574024630006,2.929541315441,0.466195932824544,1.63366541308906E-07,7.76067638054619E-08,2.9411845844979E-07,2.42835079621804E-08,1.34629109606105E-08,8.06115260378358E-08,3.86050177264445E-06,1.75153356665824E-06,0.594122737066281,2.66522762187558E-06,0.594122737066281
2.10155360527845E-06,1.45432094863378E-06,4.07535565737185E-06,6.73036160772299E-08,4.62930774640372E-07,1.44504114257083,2.80223953399029,0.515673669235956,1.62829668598142E-07,7.76085206027853E-08,3.32280666996664E-07,2.47017432339259E-08,2.41551736267584E-08,8.05786068512854E-08,3.983536330857E-06,1.67535364708958E-06,0.555441239651994,2.64722190093025E-06,0.555441239651994
2.17349587129471E-06,1.5276476732403E-06,4.04964514877419E-06,7.80003501083046E-08,5.3156171804561E-07,1.4227730054303,2.65090257374887,0.536712672702352,1.52520337405153E-07,8.12458809229677E-08,3.7447220680194E-07,2.15670149247098E-08,3.41295959896728E-08,7.24368486060012E-08,4.07608983373756E-06,1.56255835788147E-06,0.477149948094262,2.57394468111637E-06,0.477149948094262
2.17642713620594E-06,1.46610136314412E-06,4.12081053331114E-06,9.01212358820478E-08,5.62469572001506E-07,1.48449976987846,2.81072689576789,0.528155108955506,1.30839379980697E-07,7.5189235586348E-08,3.92234086205924E-07,1.3518221250854E-08,3.18516016881031E-08,6.25069064965834E-08,4.17880648168028E-06,1.50195238691673E-06,0.415166038759368,2.47661913302201E-06,0.415166038759368
2.20414735269541E-06,1.38951949221424E-06,4.23794506441705E-06,9.70526302395317E-08,5.71160813104539E-07,1.58626587467517,3.04993567068553,0.520098141715436,1.13485121088328E-07,6.68377169137345E-08,3.99332236847432E-07,2.10271736413876E-08,3.23253321654597E-08,6.32302128592382E-08,4.27630483032763E-06,1.50372599707001E-06,0.38977413495277,2.38160007692259E-06,0.38977413495277
2.24357851976731E-06,1.32376230879234E-06,4.37305603158961E-06,1.01717694781907E-07,6.09010463716292E-07,1.69484997787414,3.30350547265478,0.513045911957312,1.11394675438945E-07,6.65304606556408E-08,3.96720825273949E-07,2.38106056706961E-08,3.22254107418142E-08,6.8570587858084E-08,4.37357065624935E-06,1.53301573679676E-06,0.391383261807128,2.36064542407454E-06,0.391383261807128
2.35164836228514E-06,1.30011071313365E-06,4.5346494989146E-06,1.06941637452328E-07,6.43209913689133E-07,1.80880623359912,3.48789487934052,0.518595398133423,1.18142186054967E-07,6.34698037265452E-08,3.82259418411758E-07,2.17409421980933E-08,2.80447554632744E-08,7.73122464333929E-08,4.4929112827769E-06,1.55550172531659E-06,0.40285319044186,2.39134735520064E-06,0.40285319044186
2.52631331536797E-06,1.31731460812441E-06,4.73812108218042E-06,1.06430612808866E-07,6.66582891362956E-07,1.91777522224924,3.59680296032436,0.533188846707437,1.18942486764269E-07,6.61092636132525E-08,3.79587070709854E-07,2.33171050350521E-08,2.98778884385997E-08,8.72715168316242E-08,4.66369425894067E-06,1.55488757316107E-06,0.389643849663373,2.41526832145881E-06,0.389643849663373
2.76893942997889E-06,1.3582914245894E-06,4.77256222255944E-06,1.16168113238753E-07,7.11668746571169E-07,2.03854591132085,3.51365114743484,0.58017880141832,1.19459724830806E-07,7.17847784516652E-08,4.01421719295505E-07,2.42877276350116E-08,3.81883983748294E-08,9.09885016806466E-08,4.77743978013018E-06,1.5200405602096E-06,0.340325587040632,2.38268515460027E-06,0.340325587040632
