PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6,PAH 3.3 (Flitecam data),f_evsg, PAH G7.6, PAH G7.8
8.58E-06,3.91E-06,1.58E-05,4.43E-07,2.79E-06,1.78E-06,0.217992119,1.44E-05,5.38E-06
8.56E-06,3.81E-06,1.53E-05,4.40E-07,2.67E-06,1.63E-06,0.2096762672,1.41E-05,5.28E-06
8.41E-06,3.81E-06,1.50E-05,4.32E-07,2.63E-06,1.77E-06,0.2100997879,1.40E-05,5.35E-06
8.35E-06,3.99E-06,1.52E-05,4.29E-07,2.63E-06,1.79E-06,0.2362786286,1.42E-05,5.59E-06
8.53E-06,4.16E-06,1.53E-05,4.26E-07,2.65E-06,1.74E-06,0.2580379293,1.42E-05,5.74E-06
8.48E-06,4.25E-06,1.55E-05,4.21E-07,2.71E-06,1.76E-06,0.2432900986,1.43E-05,5.77E-06
8.62E-06,4.46E-06,1.57E-05,4.21E-07,2.80E-06,1.87E-06,0.2289004642,1.45E-05,5.90E-06
9.32E-06,4.97E-06,1.61E-05,4.07E-07,2.84E-06,2.40E-06,0.2646003445,1.46E-05,6.19E-06
1.01E-05,5.87E-06,1.72E-05,3.64E-07,2.85E-06,4.06E-06,0.3576965304,1.52E-05,6.90E-06
1.09E-05,6.94E-06,1.89E-05,3.26E-07,2.86E-06,4.31E-06,0.4576817298,1.63E-05,8.15E-06
1.13E-05,7.33E-06,1.93E-05,3.18E-07,2.71E-06,3.41E-06,0.516808505,1.66E-05,9.16E-06
1.06E-05,6.82E-06,1.81E-05,3.32E-07,2.47E-06,2.90E-06,0.525388204,1.57E-05,8.97E-06
9.43E-06,5.94E-06,1.64E-05,3.52E-07,2.26E-06,2.29E-06,0.4958103057,1.45E-05,7.99E-06
8.30E-06,4.91E-06,1.47E-05,3.61E-07,2.06E-06,1.53E-06,0.4506494885,1.34E-05,7.02E-06
7.20E-06,4.03E-06,1.31E-05,3.53E-07,1.93E-06,1.15E-06,0.4008278728,1.21E-05,6.02E-06
6.45E-06,3.51E-06,1.16E-05,3.35E-07,1.84E-06,1.15E-06,0.344720017,1.09E-05,5.13E-06
6.04E-06,3.27E-06,1.07E-05,3.08E-07,1.81E-06,1.31E-06,0.2803473356,1.01E-05,4.49E-06
5.67E-06,3.20E-06,1.01E-05,2.90E-07,1.80E-06,1.66E-06,0.2382131802,9.48E-06,4.13E-06
5.32E-06,3.20E-06,9.33E-06,2.72E-07,1.76E-06,1.20E-06,0.237285889,8.83E-06,3.87E-06
5.23E-06,3.17E-06,8.97E-06,2.38E-07,1.66E-06,1.34E-06,0.2627054652,8.37E-06,3.75E-06
5.22E-06,3.19E-06,8.67E-06,2.07E-07,1.50E-06,1.59E-06,0.3360534069,8.09E-06,3.84E-06
4.72E-06,3.15E-06,8.45E-06,1.92E-07,1.34E-06,1.65E-06,0.4202533749,7.53E-06,3.82E-06
4.61E-06,2.92E-06,7.64E-06,1.72E-07,1.19E-06,1.08E-06,0.4722490499,6.99E-06,3.63E-06
4.36E-06,2.65E-06,6.97E-06,1.58E-07,1.09E-06,1.10E-06,0.4768307859,6.68E-06,3.46E-06
4.08E-06,2.44E-06,6.66E-06,1.49E-07,1.07E-06,1.03E-06,0.4400678951,6.45E-06,3.40E-06
3.84E-06,2.32E-06,6.49E-06,1.41E-07,1.05E-06,9.41E-07,0.3846559868,6.01E-06,3.26E-06
3.56E-06,2.16E-06,6.26E-06,1.36E-07,9.83E-07,9.11E-07,0.330614025,5.53E-06,2.96E-06
3.33E-06,1.96E-06,5.89E-06,1.39E-07,8.59E-07,8.01E-07,0.2953765824,5.22E-06,2.69E-06
3.12E-06,1.78E-06,5.26E-06,1.38E-07,7.29E-07,4.97E-07,0.2922061396,4.67E-06,2.37E-06
2.92E-06,1.63E-06,4.97E-06,1.22E-07,6.47E-07,6.10E-07,0.3142927298,4.17E-06,2.11E-06
2.52E-06,1.44E-06,4.65E-06,9.91E-08,6.19E-07,7.07E-07,0.3086106656,3.70E-06,1.86E-06
2.21E-06,1.23E-06,4.01E-06,8.44E-08,5.75E-07,2.19E-07,0.3427710962,3.23E-06,1.66E-06
1.91E-06,1.02E-06,3.37E-06,7.27E-08,5.13E-07,1.99E-07,0.365065551,2.81E-06,1.50E-06
