PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6,f_evsg,PAH G7.8,PAH G7.6
2.64E-06,1.06E-06,4.76E-06,1.51E-07,7.86E-07,0.1008498802,1.02E-06,3.66E-06
2.54E-06,9.58E-07,4.65E-06,1.38E-07,7.56E-07,0.08073329293,9.28E-07,3.55E-06
2.42E-06,8.87E-07,4.30E-06,1.33E-07,7.44E-07,0.07551901082,8.69E-07,3.43E-06
2.22E-06,8.31E-07,4.15E-06,1.28E-07,7.42E-07,0.1167587117,8.42E-07,3.29E-06
2.13E-06,7.82E-07,4.11E-06,1.23E-07,6.87E-07,0.1607606409,8.19E-07,3.22E-06
2.04E-06,7.70E-07,3.84E-06,1.25E-07,6.19E-07,0.1832387611,7.94E-07,3.02E-06
1.94E-06,7.68E-07,3.56E-06,1.22E-07,6.03E-07,0.2005101471,8.22E-07,2.82E-06
1.89E-06,7.62E-07,3.52E-06,1.16E-07,5.90E-07,0.2065514201,8.48E-07,2.77E-06
1.91E-06,7.89E-07,3.67E-06,1.19E-07,5.94E-07,0.2101003323,8.52E-07,2.87E-06
2.01E-06,8.41E-07,3.89E-06,1.29E-07,6.22E-07,0.2049951173,8.85E-07,3.00E-06
2.19E-06,8.76E-07,4.08E-06,1.27E-07,6.78E-07,0.1986226841,9.55E-07,3.20E-06
2.71E-06,9.15E-07,4.32E-06,1.20E-07,7.26E-07,0.2248536502,9.78E-07,3.33E-06
1.64E-06,1.37E-06,3.62E-06,6.84E-08,4.14E-07,0.5794015844,1.50E-06,2.53E-06
1.76E-06,1.40E-06,3.56E-06,7.05E-08,4.13E-07,0.5500288883,1.44E-06,2.50E-06
1.88E-06,1.38E-06,3.49E-06,7.28E-08,4.41E-07,0.4847489586,1.34E-06,2.52E-06
1.84E-06,1.27E-06,3.56E-06,8.41E-08,4.72E-07,0.4431248671,1.29E-06,2.60E-06
1.96E-06,1.24E-06,4.09E-06,9.90E-08,4.93E-07,0.449541418,1.40E-06,2.95E-06
2.26E-06,1.29E-06,4.72E-06,1.05E-07,5.50E-07,0.4756827371,1.59E-06,3.36E-06
2.57E-06,1.37E-06,5.09E-06,1.10E-07,6.02E-07,0.4913665466,1.72E-06,3.58E-06
2.79E-06,1.41E-06,5.28E-06,1.10E-07,6.45E-07,0.4624155011,1.76E-06,3.70E-06
2.90E-06,1.44E-06,5.21E-06,1.16E-07,7.21E-07,0.3921496752,1.68E-06,3.78E-06
2.92E-06,1.48E-06,5.33E-06,1.26E-07,8.00E-07,0.3213160003,1.59E-06,3.93E-06
3.07E-06,1.47E-06,5.61E-06,1.39E-07,8.37E-07,0.2603101844,1.55E-06,4.13E-06
3.11E-06,1.42E-06,5.56E-06,1.46E-07,8.71E-07,0.2263554106,1.52E-06,4.17E-06
3.08E-06,1.36E-06,5.69E-06,1.55E-07,8.80E-07,0.2220643161,1.53E-06,4.34E-06
3.01E-06,1.33E-06,5.72E-06,1.57E-07,8.68E-07,0.2239580836,1.50E-06,4.34E-06
2.92E-06,1.28E-06,5.58E-06,1.63E-07,8.94E-07,0.2080435198,1.41E-06,4.22E-06
2.92E-06,1.24E-06,5.53E-06,1.60E-07,9.38E-07,0.1642594207,1.32E-06,4.19E-06
2.92E-06,1.22E-06,5.48E-06,1.59E-07,9.26E-07,0.1292218115,1.25E-06,4.19E-06
2.87E-06,1.20E-06,5.45E-06,1.63E-07,8.89E-07,0.1226440004,1.19E-06,4.10E-06
2.76E-06,1.11E-06,5.09E-06,1.56E-07,8.10E-07,0.1185432373,1.08E-06,3.86E-06
2.69E-06,1.02E-06,4.80E-06,1.46E-07,7.50E-07,0.09663646346,9.61E-07,3.65E-06
2.53E-06,9.36E-07,4.46E-06,1.36E-07,7.39E-07,0.08788186429,8.96E-07,3.50E-06
2.25E-06,8.82E-07,4.38E-06,1.32E-07,7.39E-07,0.1159699832,8.95E-07,3.49E-06
2.22E-06,8.29E-07,4.31E-06,1.24E-07,6.86E-07,0.1496401552,8.69E-07,3.41E-06
2.19E-06,8.18E-07,4.03E-06,1.20E-07,6.54E-07,0.1756496584,8.23E-07,3.13E-06
2.11E-06,8.30E-07,3.80E-06,1.15E-07,6.35E-07,0.208067999,8.51E-07,2.94E-06
2.08E-06,8.35E-07,3.70E-06,1.12E-07,6.18E-07,0.2270708615,8.88E-07,2.89E-06
2.12E-06,8.64E-07,3.86E-06,1.21E-07,6.12E-07,0.2336829963,8.93E-07,2.97E-06
2.20E-06,8.98E-07,4.05E-06,1.33E-07,6.35E-07,0.214979582,9.09E-07,3.09E-06
2.25E-06,9.00E-07,4.14E-06,1.29E-07,6.88E-07,0.2011152648,9.60E-07,3.24E-06
2.72E-06,9.37E-07,4.33E-06,1.24E-07,7.43E-07,0.2328668883,9.91E-07,3.35E-06
1.62E-06,1.37E-06,3.62E-06,6.12E-08,3.98E-07,0.5829109925,1.47E-06,2.57E-06
1.78E-06,1.40E-06,3.60E-06,6.46E-08,4.08E-07,0.5594081327,1.43E-06,2.55E-06
1.83E-06,1.37E-06,3.57E-06,7.11E-08,4.48E-07,0.4996823462,1.35E-06,2.56E-06
1.93E-06,1.27E-06,3.69E-06,8.14E-08,4.94E-07,0.4596038395,1.32E-06,2.64E-06
2.14E-06,1.25E-06,4.15E-06,9.73E-08,5.26E-07,0.468287807,1.44E-06,2.93E-06
2.40E-06,1.33E-06,4.83E-06,1.09E-07,5.62E-07,0.5010859561,1.67E-06,3.38E-06
2.69E-06,1.43E-06,5.26E-06,1.15E-07,5.90E-07,0.5138852071,1.83E-06,3.69E-06
2.89E-06,1.44E-06,5.32E-06,1.16E-07,6.19E-07,0.4831959331,1.82E-06,3.76E-06
2.94E-06,1.43E-06,5.24E-06,1.18E-07,6.92E-07,0.4159641945,1.70E-06,3.77E-06
2.87E-06,1.40E-06,5.27E-06,1.16E-07,7.85E-07,0.3422568385,1.57E-06,3.87E-06
3.09E-06,1.42E-06,5.44E-06,1.35E-07,8.26E-07,0.2738241393,1.48E-06,4.00E-06
3.19E-06,1.41E-06,5.37E-06,1.50E-07,8.45E-07,0.2384377098,1.45E-06,4.05E-06
3.15E-06,1.36E-06,5.66E-06,1.49E-07,8.55E-07,0.2296141396,1.51E-06,4.35E-06
3.06E-06,1.32E-06,5.65E-06,1.46E-07,8.62E-07,0.2214328243,1.51E-06,4.40E-06
2.98E-06,1.30E-06,5.54E-06,1.49E-07,9.06E-07,0.2105252256,1.46E-06,4.31E-06
3.02E-06,1.28E-06,5.62E-06,1.52E-07,9.50E-07,0.1829696676,1.39E-06,4.26E-06
2.94E-06,1.28E-06,5.73E-06,1.59E-07,9.52E-07,0.1523282158,1.35E-06,4.35E-06
2.93E-06,1.26E-06,5.76E-06,1.64E-07,9.27E-07,0.1350348985,1.32E-06,4.36E-06
2.86E-06,1.19E-06,5.45E-06,1.62E-07,8.51E-07,0.1310473752,1.19E-06,4.14E-06
2.77E-06,1.09E-06,4.98E-06,1.51E-07,7.60E-07,0.1166327114,1.03E-06,3.83E-06
2.60E-06,1.00E-06,4.67E-06,1.39E-07,7.51E-07,0.1049861974,9.58E-07,3.64E-06
2.37E-06,9.52E-07,4.51E-06,1.39E-07,7.57E-07,0.1220512371,9.50E-07,3.60E-06
2.29E-06,8.87E-07,4.47E-06,1.31E-07,7.23E-07,0.1380503727,9.26E-07,3.54E-06
2.33E-06,8.66E-07,4.23E-06,1.23E-07,6.95E-07,0.160169794,8.73E-07,3.28E-06
2.30E-06,8.87E-07,4.06E-06,1.21E-07,6.69E-07,0.2016193818,9.11E-07,3.13E-06
2.29E-06,8.93E-07,3.91E-06,1.16E-07,6.69E-07,0.2306922485,9.47E-07,3.07E-06
2.29E-06,9.19E-07,4.05E-06,1.20E-07,6.73E-07,0.2224220385,9.40E-07,3.11E-06
2.35E-06,9.32E-07,4.16E-06,1.29E-07,6.84E-07,0.1875658263,9.31E-07,3.19E-06
2.35E-06,9.25E-07,4.15E-06,1.27E-07,7.09E-07,0.1783203023,9.45E-07,3.28E-06
2.71E-06,9.55E-07,4.43E-06,1.31E-07,7.52E-07,0.238764516,9.94E-07,3.44E-06
1.64E-06,1.39E-06,3.56E-06,6.22E-08,3.90E-07,0.5744030912,1.44E-06,2.49E-06
1.81E-06,1.42E-06,3.57E-06,6.76E-08,4.20E-07,0.5597127775,1.41E-06,2.48E-06
1.82E-06,1.41E-06,3.50E-06,7.75E-08,4.62E-07,0.5137566349,1.37E-06,2.49E-06
1.95E-06,1.32E-06,3.69E-06,8.58E-08,4.88E-07,0.4815965047,1.35E-06,2.61E-06
2.18E-06,1.29E-06,4.23E-06,9.25E-08,5.24E-07,0.4827926366,1.47E-06,2.98E-06
2.48E-06,1.36E-06,4.90E-06,1.04E-07,5.63E-07,0.4943126259,1.69E-06,3.42E-06
2.69E-06,1.46E-06,5.40E-06,1.18E-07,5.86E-07,0.4945723429,1.86E-06,3.78E-06
2.88E-06,1.50E-06,5.55E-06,1.26E-07,6.14E-07,0.4809572316,1.89E-06,3.93E-06
2.98E-06,1.45E-06,5.41E-06,1.20E-07,6.89E-07,0.4272562467,1.74E-06,3.86E-06
2.85E-06,1.41E-06,5.35E-06,1.13E-07,7.79E-07,0.359342984,1.60E-06,3.91E-06
2.99E-06,1.39E-06,5.42E-06,1.27E-07,8.25E-07,0.2798094363,1.49E-06,3.97E-06
3.03E-06,1.36E-06,5.45E-06,1.39E-07,8.52E-07,0.2256067529,1.46E-06,4.11E-06
3.09E-06,1.34E-06,5.66E-06,1.50E-07,8.71E-07,0.204985776,1.49E-06,4.34E-06
3.09E-06,1.30E-06,5.54E-06,1.50E-07,8.70E-07,0.2033643158,1.48E-06,4.37E-06
3.14E-06,1.28E-06,5.51E-06,1.50E-07,9.06E-07,0.2030941304,1.45E-06,4.27E-06
3.11E-06,1.29E-06,5.54E-06,1.49E-07,9.19E-07,0.1855073426,1.41E-06,4.22E-06
3.02E-06,1.30E-06,5.79E-06,1.52E-07,9.19E-07,0.167645053,1.40E-06,4.36E-06
3.03E-06,1.31E-06,5.77E-06,1.64E-07,9.08E-07,0.1558567035,1.37E-06,4.35E-06
2.91E-06,1.26E-06,5.53E-06,1.63E-07,8.79E-07,0.1516565189,1.27E-06,4.18E-06
2.78E-06,1.16E-06,5.15E-06,1.46E-07,8.18E-07,0.1374221599,1.15E-06,3.94E-06
2.64E-06,1.08E-06,4.80E-06,1.38E-07,7.99E-07,0.1242762598,1.07E-06,3.74E-06
2.48E-06,1.01E-06,4.51E-06,1.43E-07,8.10E-07,0.1317861014,1.01E-06,3.65E-06
2.44E-06,9.42E-07,4.56E-06,1.35E-07,7.91E-07,0.1373534459,9.61E-07,3.59E-06
2.44E-06,9.31E-07,4.48E-06,1.31E-07,7.43E-07,0.1445919808,9.29E-07,3.44E-06
